#{"t_start": 1593112124.0714781, "env_id": "AntBulletEnv-v0"}
r,l,t
504.493495,1000,1.861507
480.533984,1000,2.826308
506.042279,1000,3.769729
504.494056,1000,4.722715
507.791462,1000,5.662941
496.457954,1000,6.596543
528.887918,1000,7.578739
495.020478,1000,8.548339
475.259821,1000,9.475282
510.906244,1000,10.414445
496.670838,1000,21.39142
472.712912,1000,33.080837
45.563153,124,34.571071
3.610432,20,34.823765
2.544615,20,35.076444
108.941741,239,38.223843
10.499915,33,38.679346
3.482591,20,38.956549
3.795121,21,39.24369
179.348782,382,44.552357
3.766512,21,44.839424
5.265371,23,45.155557
11.398091,38,45.674183
5.244887,20,45.954509
219.501681,488,52.717484
2.820491,20,52.992037
1.768381,20,53.266779
5.120671,20,53.547083
3.626916,21,53.839644
462.238942,1000,68.997147
